"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024",
"Bulgaria","BGR","Researchers in R&D (per million people)","SP.POP.SCIE.RD.P6","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1771.85422","1450.78139","1464.18095","1306.20445","1179.69599","1157.05434","1168.80197","1224.19554","1263.77329","1301.70634","1348.08734","1471.47888","1505.75099","1593.43114","1470.69323","1606.20566","1537.4066","1685.20345","1822.03088","1976.75906","2236.855","2125.46017","2343.48736","2420.08954","2401.16918","2346.69591","2557.19806","","",
"Bahrain","BHR","Researchers in R&D (per million people)","SP.POP.SCIE.RD.P6","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","384.09339","","","","","","","","","","",
"Bahamas, The","BHS","Researchers in R&D (per million people)","SP.POP.SCIE.RD.P6","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Bosnia and Herzegovina","BIH","Researchers in R&D (per million people)","SP.POP.SCIE.RD.P6","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","55.34689","57.25219","61.48538","164.44144","184.20563","","","","","155.74572","228.0143","283.73763","353.6653","406.85468","471.50932","459.76526","451.01282","446.11618","445.69281","540.14789","669.76765","",
"Belarus","BLR","Researchers in R&D (per million people)","SP.POP.SCIE.RD.P6","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1473.37761","1439.1965","1434.19007","1504.35265","",
"Belize","BLZ","Researchers in R&D (per million people)","SP.POP.SCIE.RD.P6","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Bermuda","BMU","Researchers in R&D (per million people)","SP.POP.SCIE.RD.P6","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Bolivia","BOL","Researchers in R&D (per million people)","SP.POP.SCIE.RD.P6","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","71.59781","71.54516","70.31278","120.97677","117.83207","","","","","","","143.15295","162.98202","","","","","","","49.89826","","58.8279","","63.0569","","","",
"Brazil","BRA","Researchers in R&D (per million people)","SP.POP.SCIE.RD.P6","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","298.53981","341.27926","403.16475","428.48507","489.27106","515.766","550.49741","562.55469","598.65285","634.14103","696.09998","749.17174","801.40894","852.71699","903.20079","","","","","","","","","","",
"Barbados","BRB","Researchers in R&D (per million people)","SP.POP.SCIE.RD.P6","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
