"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024",
"Gibraltar","GIB","Researchers in R&D (per million people)","SP.POP.SCIE.RD.P6","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Guinea","GIN","Researchers in R&D (per million people)","SP.POP.SCIE.RD.P6","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Gambia, The","GMB","Researchers in R&D (per million people)","SP.POP.SCIE.RD.P6","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","86.52267","97.05758","","29.97933","","","","","","","50.8608","","","","","","",
"Guinea-Bissau","GNB","Researchers in R&D (per million people)","SP.POP.SCIE.RD.P6","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Equatorial Guinea","GNQ","Researchers in R&D (per million people)","SP.POP.SCIE.RD.P6","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Greece","GRC","Researchers in R&D (per million people)","SP.POP.SCIE.RD.P6","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1034.83571","","1378.09346","","1329.34234","","1433.39172","","1787.19397","1809.7524","1904.75068","","","","2217.3345","2236.28739","2655.47213","2733.92303","3196.52298","2726.60076","3250.61522","3416.08087","3644.60084","4008.18457","4244.36826","4926.78077","","",
"Grenada","GRD","Researchers in R&D (per million people)","SP.POP.SCIE.RD.P6","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Greenland","GRL","Researchers in R&D (per million people)","SP.POP.SCIE.RD.P6","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","536.23111","539.79435","647.48328","701.94574","","","","","","","","","","","","","","","","","","","","",
"Guatemala","GTM","Researchers in R&D (per million people)","SP.POP.SCIE.RD.P6","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","29.96244","24.57335","34.56902","39.14498","39.35924","25.28604","25.2655","27.51046","17.78271","20.79155","22.74408","22.71149","14.49246","13.28356","14.95967","17.2968","14.52588","","","",
"Guam","GUM","Researchers in R&D (per million people)","SP.POP.SCIE.RD.P6","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","276.47221","305.79544","292.48496","","","","","","","","","","","","","","","","","","","",
"Guyana","GUY","Researchers in R&D (per million people)","SP.POP.SCIE.RD.P6","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"High income","HIC","Researchers in R&D (per million people)","SP.POP.SCIE.RD.P6","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2928.45792499805","2921.84139386571","2955.54339182854","3015.54823951444","3075.64508138173","3154.07013640274","3166.1510428792","3278.62344434436","3337.5975573945","3383.09718991529","3481.78170954892","3470.96090982342","3534.47350175068","3565.79823164463","3590.45604299763","3615.48593472261","3659.80426211752","3736.02734929567","3824.10747794218","3873.65382988404","3886.65797262232","4020.23174908603","4131.04319334159","4258.85472960168","4238.73937110299","4480.62083457854","","","",
"Hong Kong SAR, China","HKG","Researchers in R&D (per million people)","SP.POP.SCIE.RD.P6","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1053.71375","1205.55046","1160.05084","1355.89935","1564.3458","1972.70024","2122.33356","2612.0206","2649.43577","2815.15829","2636.81534","2737.39051","3062.54396","3036.83266","3137.56656","3309.70489","3512.80511","3487.89638","3668.25742","3720.22457","3978.17159","4240.38811","4355.79712","4591.73346","4815.20071","5273.74369","",
"Honduras","HND","Researchers in R&D (per million people)","SP.POP.SCIE.RD.P6","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","22.29506","","34.42048","201.94053","187.83669","","","","","",
"Heavily indebted poor countries (HIPC)","HPC","Researchers in R&D (per million people)","SP.POP.SCIE.RD.P6","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Croatia","HRV","Researchers in R&D (per million people)","SP.POP.SCIE.RD.P6","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1058.21383","1250.71645","1554.71759","1549.19173","1990.8424","1361.17206","1657.56476","1327.97321","1338.95518","1419.96782","1551.807","1606.76105","1649.24941","1594.22493","1567.46167","1535.62032","1445.04267","1513.83841","1871.39921","1900.86092","1973.01528","2203.55061","2295.44402","2414.42218","2534.42425","","",
"Haiti","HTI","Researchers in R&D (per million people)","SP.POP.SCIE.RD.P6","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Hungary","HUN","Researchers in R&D (per million people)","SP.POP.SCIE.RD.P6","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1009.14592","1083.88096","1142.65899","1228.7746","1411.99814","1440.86103","1473.69545","1499.67591","1476.26637","1575.84829","1745.00319","1731.42684","1845.99803","2004.50214","2135.63344","2309.99213","2400.89424","2527.84945","2654.79529","2569.66887","2625.94197","2902.24254","3846.48666","4021.15293","4309.61589","4452.48668","4725.1504","","",
"IBRD only","IBD","Researchers in R&D (per million people)","SP.POP.SCIE.RD.P6","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","526.376303261553","","464.386694697773","","497.22689333194","","","","","624.05657474121","","","","","682.59459276164","","","","","785.801670436886","","","847.030959809919","","974.374840153822","","","","",
"IDA & IBRD total","IBT","Researchers in R&D (per million people)","SP.POP.SCIE.RD.P6","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","576.134491241277","","","","","627.458342803077","","","","","719.187194478327","","","","","","","","","",
"IDA total","IDA","Researchers in R&D (per million people)","SP.POP.SCIE.RD.P6","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"IDA blend","IDB","Researchers in R&D (per million people)","SP.POP.SCIE.RD.P6","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","123.802887785302","","","","","","","","","","","","215.922319792477","","","","","",
"Indonesia","IDN","Researchers in R&D (per million people)","SP.POP.SCIE.RD.P6","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","209.65817","196.3356","","","","","","","","88.33347","","","","","","","177.73496","214.08281","215.18755","387.17063","395.34168","","","","",
"IDA only","IDX","Researchers in R&D (per million people)","SP.POP.SCIE.RD.P6","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Isle of Man","IMN","Researchers in R&D (per million people)","SP.POP.SCIE.RD.P6","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"India","IND","Researchers in R&D (per million people)","SP.POP.SCIE.RD.P6","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","153.94902","","116.49341","","110.62568","","","","","135.14649","","","","","156.19059","","","","","214.34935","","","250.00794","","259.26325","","","","",
"Not classified","INX","Researchers in R&D (per million people)","SP.POP.SCIE.RD.P6","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Ireland","IRL","Researchers in R&D (per million people)","SP.POP.SCIE.RD.P6","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1771.6011","1929.23033","2091.11026","2111.48773","2255.69685","2336.65114","2406.49548","2534.61201","2735.33169","2821.26494","2895.65117","2929.08877","3256.66919","3139.86576","3116.61747","3341.4018","4873.66344","5141.73776","5290.95054","5242.06636","5143.85544","5114.19434","4656.77702","4961.4389","5196.11055","5213.43167","5511.65804","","",
"Iran, Islamic Rep.","IRN","Researchers in R&D (per million people)","SP.POP.SCIE.RD.P6","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","695.93817","","723.09305","687.77269","712.4395","","667.69317","650.49973","","789.46238","","1409.14676","","1588.4273","","2239.74005","","","",
"Iraq","IRQ","Researchers in R&D (per million people)","SP.POP.SCIE.RD.P6","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","370.8675","391.66134","407.43142","420.64715","429.8312","","","66.44057","63.15466","62.30752","102.2908","107.3521","118.26846","136.59963","164.28484","","","",
"Iceland","ISL","Researchers in R&D (per million people)","SP.POP.SCIE.RD.P6","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3320.88313","4967.78663","5191.01854","5720.28444","","6560.18798","","6643.65474","","7337.75322","7999.30666","7175.58294","7313.20175","7841.17942","","7088.82137","","5739.72216","","","","5979.72684","5645.66563","","","6941.30115","6863.54747","","",
"Israel","ISR","Researchers in R&D (per million people)","SP.POP.SCIE.RD.P6","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Italy","ITA","Researchers in R&D (per million people)","SP.POP.SCIE.RD.P6","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1337.61364","1148.96073","1142.51929","1137.5056","1154.70198","1164.25597","1242.88215","1222.71837","1242.48468","1412.59398","1507.90404","1579.89282","1613.51417","1703.84695","1722.66807","1760.64483","1831.34278","1916.30366","1947.34437","2075.80841","2209.59265","2322.42382","2524.31271","2670.65345","2614.68181","2658.8949","2795.53412","","",
"Jamaica","JAM","Researchers in R&D (per million people)","SP.POP.SCIE.RD.P6","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Jordan","JOR","Researchers in R&D (per million people)","SP.POP.SCIE.RD.P6","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1779.75136","","","","","","","","","","","","","","","","","254.19597","572.41702","576.00927","","","","","","","",
"Japan","JPN","Researchers in R&D (per million people)","SP.POP.SCIE.RD.P6","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4906.38735","4959.03285","5164.5008","5201.03384","5102.41299","5136.2064","4891.16889","5113.02549","5117.27802","5322.47485","5352.83117","5344.2381","5125.12165","5114.01193","5117.18164","5123.33234","5048.63399","5166.83422","5351.53211","5198.48902","5232.70894","5319.83455","5339.51713","5376.11987","5450.44287","5589.76698","5629.79566","","",
"Kazakhstan","KAZ","Researchers in R&D (per million people)","SP.POP.SCIE.RD.P6","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","394.65661","365.52061","338.66777","360.06018","375.48738","596.79809","720.18538","781.43387","760.84725","678.87213","650.77119","650.01155","619.64887","668.82871","609.97284","661.69455","693.05803","",
"Kenya","KEN","Researchers in R&D (per million people)","SP.POP.SCIE.RD.P6","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","56.1911","","","226.90023","","","","","","","","","","","","168.60477","200.85225","",
"Kyrgyz Republic","KGZ","Researchers in R&D (per million people)","SP.POP.SCIE.RD.P6","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Cambodia","KHM","Researchers in R&D (per million people)","SP.POP.SCIE.RD.P6","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","17.47676","","","","","","","","","","","","","30.38923","","","","","","","","","",
"Kiribati","KIR","Researchers in R&D (per million people)","SP.POP.SCIE.RD.P6","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"St. Kitts and Nevis","KNA","Researchers in R&D (per million people)","SP.POP.SCIE.RD.P6","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Korea, Rep.","KOR","Researchers in R&D (per million people)","SP.POP.SCIE.RD.P6","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2186.08907","2241.82853","2007.82828","2161.01827","2324.08478","2906.71111","3007.81714","3189.96825","3281.04385","3763.23464","4173.2456","4614.74679","4892.49313","5037.92837","5429.43919","5908.82443","6393.34374","6457.88851","6867.33385","7020.43916","7057.16003","7453.21918","7918.46916","8328.96727","8620.009","9071.4503","9434.7613","","",
"Kuwait","KWT","Researchers in R&D (per million people)","SP.POP.SCIE.RD.P6","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","189.29425","181.69805","174.10772","168.07987","169.54601","170.06803","171.66419","174.76497","176.11884","170.93793","193.74141","156.22965","147.61475","141.92742","136.13419","135.22051","","637.96147","405.49843","481.99315","498.31295","502.98169","175.34012","165.97953","","176.25862","159.38516","",
"Latin America & Caribbean (excluding high income)","LAC","Researchers in R&D (per million people)","SP.POP.SCIE.RD.P6","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","318.784768758364","327.354325149705","381.039393354914","410.309911729264","481.451535022288","494.821255331192","487.022733131495","505.168018493483","522.647682880448","549.458906960023","576.679093923113","615.444347091277","620.383813823595","592.278551400361","613.649934505699","","","","","","","","","","",
"Lao PDR","LAO","Researchers in R&D (per million people)","SP.POP.SCIE.RD.P6","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","15.62884","","","","","","","","","","","","","","","","","","","","","","",
"Lebanon","LBN","Researchers in R&D (per million people)","SP.POP.SCIE.RD.P6","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Liberia","LBR","Researchers in R&D (per million people)","SP.POP.SCIE.RD.P6","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Libya","LBY","Researchers in R&D (per million people)","SP.POP.SCIE.RD.P6","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"St. Lucia","LCA","Researchers in R&D (per million people)","SP.POP.SCIE.RD.P6","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Latin America & Caribbean","LCN","Researchers in R&D (per million people)","SP.POP.SCIE.RD.P6","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","298.460538992096","308.037555218886","357.673708656542","382.764632435085","","461.238916110719","460.120148480415","472.649084503284","487.923131125271","510.263368127076","540.766374471365","573.99606836999","582.631882365115","561.112998511686","582.691393644504","","","","","","","","","","",
"Least developed countries: UN classification","LDC","Researchers in R&D (per million people)","SP.POP.SCIE.RD.P6","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Low income","LIC","Researchers in R&D (per million people)","SP.POP.SCIE.RD.P6","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Liechtenstein","LIE","Researchers in R&D (per million people)","SP.POP.SCIE.RD.P6","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","20047.04652","","","","18129.75165","",
"Sri Lanka","LKA","Researchers in R&D (per million people)","SP.POP.SCIE.RD.P6","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","194.43149","","","","132.70514","","","","133.79126","","90.37763","","95.90583","","102.80578","","","107.04016","95.87685","102.40151","102.9348","102.17296","101.11335","","100.80931","","94.4866","","",
"Lower middle income","LMC","Researchers in R&D (per million people)","SP.POP.SCIE.RD.P6","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","266.581392754698","","","","","","","","","",
"Low & middle income","LMY","Researchers in R&D (per million people)","SP.POP.SCIE.RD.P6","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","537.634190360114","","","","","626.156047185382","","","","","","","","","",
"Lesotho","LSO","Researchers in R&D (per million people)","SP.POP.SCIE.RD.P6","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","6.0045","7.53445","10.10478","","","","","23.20733","","5.93738","","","","23.73201","","","","","","","","","",
"Late-demographic dividend","LTE","Researchers in R&D (per million people)","SP.POP.SCIE.RD.P6","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","794.291270282939","811.401335797457","731.774754207582","740.670264468225","798.922494713577","822.300987440523","834.863699198013","879.102512791911","922.803408116131","1017.37101732098","1074.16953254162","1162.3329109467","1249.30221324151","1010.45439396375","1060.07120252662","1112.98299847332","1186.53715204691","1152.67787235944","1217.31852870057","1276.26307585236","1346.24660804941","1324.38936089374","1481.66046276242","1577.47654610358","1682.87302418599","1729.44887632602","1907.28178405292","","",
"Lithuania","LTU","Researchers in R&D (per million people)","SP.POP.SCIE.RD.P6","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2084.56665","2175.00297","2369.25296","2415.60995","2215.11542","2313.80264","1830.39639","1924.81452","2164.46077","2276.39834","2425.77892","2605.27005","2624.8157","2666.31995","2736.49225","2748.0311","2670.60517","2878.7497","3082.27902","2794.92116","2950.39665","3068.33424","3180.95498","3445.30515","3643.24539","3946.51068","4153.6584","","",
"Luxembourg","LUX","Researchers in R&D (per million people)","SP.POP.SCIE.RD.P6","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3800.20738","","","4345.49954","4461.66893","4826.35315","4377.13881","4618.93667","4725.37233","4852.27924","5200.13851","5525.72816","4401.98152","4661.60191","4782.93933","4636.38043","4802.1785","4969.23004","4754.92191","5090.81552","4688.80483","4939.08633","4879.24254","","",
"Latvia","LVA","Researchers in R&D (per million people)","SP.POP.SCIE.RD.P6","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1149.21172","1067.30045","1056.15768","1094.45031","1600.9967","1485.32998","1486.06326","1392.33083","1459.48929","1458.12295","1765.58108","1881.56079","1993.41671","1673.90361","1836.97506","1902.3667","1908.95404","1790.85926","1872.26628","1818.82619","1600.57848","1785.24003","1786.2773","1891.24705","2134.06006","2395.27344","2270.07923","","",
"Macao SAR, China","MAC","Researchers in R&D (per million people)","SP.POP.SCIE.RD.P6","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","259.35069","233.57521","317.62574","513.86424","608.64833","546.976","379.66089","378.38481","552.53708","628.84194","590.60719","714.10035","889.14744","1007.1702","1247.7184","2583.54081","3137.49004","3428.95417","3587.54147","3826.01324","4092.52683","3498.4859","3826.96528","",
"St. Martin (French part)","MAF","Researchers in R&D (per million people)","SP.POP.SCIE.RD.P6","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Morocco","MAR","Researchers in R&D (per million people)","SP.POP.SCIE.RD.P6","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","653.41079","644.48667","659.40797","","721.98655","847.79094","853.0081","","1030.14364","","1083.42555","","","","","","","","",
"Monaco","MCO","Researchers in R&D (per million people)","SP.POP.SCIE.RD.P6","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","278.23291","309.90455","","","","","","","","","","","","","","","","","","","",
"Moldova","MDA","Researchers in R&D (per million people)","SP.POP.SCIE.RD.P6","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","756.43007","755.38437","717.41311","698.34114","723.79793","820.94705","801.95946","760.16606","777.15332","768.63843","736.90187","925.31215","946.48296","912.00965","923.49386","903.41782","823.53362","774.67919","781.24167","768.02221","717.41595","",
"Madagascar","MDG","Researchers in R&D (per million people)","SP.POP.SCIE.RD.P6","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","13.98026","14.41915","14.76191","49.00259","45.57217","45.70833","46.25","46.56194","46.24168","46.80207","45.1091","43.80387","50.26629","49.14874","","","","","23.87432","29.61421","32.94427","","","","","","",
"Maldives","MDV","Researchers in R&D (per million people)","SP.POP.SCIE.RD.P6","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Middle East, North Africa, Afghanistan & Pakistan","MEA","Researchers in R&D (per million people)","SP.POP.SCIE.RD.P6","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","471.02234051523","","623.546991469878","","719.045710484371","","857.770980276279","","","",
"Mexico","MEX","Researchers in R&D (per million people)","SP.POP.SCIE.RD.P6","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","217.03384","229.69194","219.74652","227.07752","227.09051","235.3859","308.76297","328.13432","383.11111","417.90546","340.43454","351.25363","343.53328","386.49816","341.23898","348.02663","250.69335","254.46546","262.92059","284.58114","319.5511","273.56869","278.43618","282.18884","281.59287","273.14814","273.66785","272.31856","",
"Marshall Islands","MHL","Researchers in R&D (per million people)","SP.POP.SCIE.RD.P6","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Middle income","MIC","Researchers in R&D (per million people)","SP.POP.SCIE.RD.P6","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","469.415886269215","","","","","555.623250565741","","","","","648.774109692415","","","738.504871687327","","875.283144329561","","","","",
"North Macedonia","MKD","Researchers in R&D (per million people)","SP.POP.SCIE.RD.P6","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","606.0126","676.75616","663.60475","645.46332","601.44074","562.07826","537.99609","512.77378","532.93852","507.84433","497.29935","466.13087","432.44594","535.89171","450.8086","623.86927","693.84909","867.52011","897.16346","901.84402","778.17311","862.45303","858.75424","868.87807","843.87245","730.898","922.47062","",
"Mali","MLI","Researchers in R&D (per million people)","SP.POP.SCIE.RD.P6","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","37.28082","","","","28.21129","","","","","29.38677","","31.19803","","55.22467","","28.66941","","","",
"Malta","MLT","Researchers in R&D (per million people)","SP.POP.SCIE.RD.P6","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","672.92087","678.26433","1064.62987","1162.44361","1256.70565","1181.74634","1294.07262","1176.53223","1391.94851","1761.13695","1968.67504","1880.46422","1835.3282","1865.25574","1989.5946","2027.40143","1904.9221","1902.71628","1964.91528","2157.55518","2427.56223","","",
"Myanmar","MMR","Researchers in R&D (per million people)","SP.POP.SCIE.RD.P6","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","7.57511","7.63882","11.45303","","12.60543","18.19315","","","","","","","","","","","","","","","30.01847","34.1151","30.40636","32.80625","19.11376","26.39711","28.00891","",
"Middle East, North Africa, Afghanistan & Pakistan (excluding high income)","MNA","Researchers in R&D (per million people)","SP.POP.SCIE.RD.P6","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","359.054998084986","","","","","","441.343705069749","","626.559035302757","","691.375466041428","","830.795069047066","","","",
"Montenegro","MNE","Researchers in R&D (per million people)","SP.POP.SCIE.RD.P6","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","642.96419","","637.60412","665.31497","830.62949","716.88365","708.80379","775.01569","764.41883","","","","","",
"Mongolia","MNG","Researchers in R&D (per million people)","SP.POP.SCIE.RD.P6","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","332.37478","681.35643","535.37392","","",
"Northern Mariana Islands","MNP","Researchers in R&D (per million people)","SP.POP.SCIE.RD.P6","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Mozambique","MOZ","Researchers in R&D (per million people)","SP.POP.SCIE.RD.P6","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","16.40562","","20.60081","12.3366","40.21198","","","","","44.41136","","","","","","","","","",
"Mauritania","MRT","Researchers in R&D (per million people)","SP.POP.SCIE.RD.P6","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Mauritius","MUS","Researchers in R&D (per million people)","SP.POP.SCIE.RD.P6","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","176.93358","","","","","","465.4988","543.55651","558.19237","564.33636","578.6005","852.67511","",
"Malawi","MWI","Researchers in R&D (per million people)","SP.POP.SCIE.RD.P6","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","30.31564","","","50.11331","","","","","","","","","","","","","","",
"Malaysia","MYS","Researchers in R&D (per million people)","SP.POP.SCIE.RD.P6","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","91.99322","","157.86504","","282.98354","","300.56079","","507.42811","","371.05001","","598.97222","1063.03522","1452.73369","1633.85555","1769.90749","","2015.97275","2256.60241","2334.07987","","2110.44315","","711.51035","","","","",
"North America","NAC","Researchers in R&D (per million people)","SP.POP.SCIE.RD.P6","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3119.51353257458","3225.28950214987","3387.60203610383","3455.02756173757","3490.0542408194","3544.87528291696","3588.62227353779","3789.80023355823","3680.3695172631","3626.59330932403","3667.27437112598","3646.94071825939","3772.80404210971","3857.19537799373","3660.4057136891","3772.53694993324","3743.01358535951","3817.6834373398","3897.95953665356","3926.7418704055","3868.36288626828","3981.66076923223","4276.38960864208","4325.7488563704","4535.24877100525","4885.75528279161","","","",
"Namibia","NAM","Researchers in R&D (per million people)","SP.POP.SCIE.RD.P6","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","148.91896","","","","","","","","224.81068","","",
"New Caledonia","NCL","Researchers in R&D (per million people)","SP.POP.SCIE.RD.P6","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Niger","NER","Researchers in R&D (per million people)","SP.POP.SCIE.RD.P6","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","9.30768","8.57341","7.95687","8.13744","7.47846","","","","","","","","26.93895","","","","","","","","","","","",
