h,scheme,grad_l2_error,normal_angle_deg,plane_RMSE
1e-06,central,5.5102980634346126e-11,0.0,1.2939377803180279e-11
2.848035868435799e-06,central,3.550053104802165e-11,0.0,8.336306531162513e-12
8.111308307896873e-06,central,3.315492929456856e-12,0.0,7.78541204074073e-13
2.310129700083158e-05,central,3.7999659297704126e-11,0.0,8.923135112114984e-12
6.579332246575683e-05,central,2.682164411889779e-10,0.0,6.298303309325731e-11
0.0001873817422860383,central,2.1659026366349386e-09,0.0,5.086009915773909e-10
0.0005336699231206307,central,1.7568424225329152e-08,0.0,4.125447692859737e-09
0.0015199110829529332,central,1.4250285092917945e-07,2.091309789151873e-06,3.346276539907847e-08
0.004328761281083057,central,1.155884162549721e-06,1.8131386516320817e-05,2.7142671394611164e-07
0.012328467394420659,central,9.375704451581277e-06,0.00014734708460513213,2.2016191005101566e-06
0.03511191734215127,central,7.604736723737824e-05,0.00119521175156087,1.7857574022098726e-05
0.1,central,0.0006167211401860046,0.009694739766077482,0.00014481952251543023
1e-06,five_point,9.615934883095623e-11,0.0,2.2580313912346438e-11
2.848035868435799e-06,five_point,4.726070443406539e-11,0.0,1.109783816212243e-11
8.111308307896873e-06,five_point,4.741752057199605e-12,0.0,1.113468810771647e-12
2.310129700083158e-05,five_point,5.3477033279431185e-12,0.0,1.2557667989179926e-12
6.579332246575683e-05,five_point,1.988851741428083e-12,0.0,4.670248133995634e-13
0.0001873817422860383,five_point,3.669765922306159e-13,0.0,8.618380987959177e-14
0.0005336699231206307,five_point,1.4340110936070754e-13,0.0,3.3675851130737606e-14
0.0015199110829529332,five_point,2.8123507339896584e-14,0.0,6.609073953979004e-15
0.004328761281083057,five_point,1.995002381375232e-12,0.0,4.684621425607032e-13
0.012328467394420659,five_point,1.3021535947676246e-10,0.0,3.057739008006629e-11
0.03511191734215127,five_point,8.566241157833007e-09,0.0,2.0115395167284314e-09
0.1,five_point,5.633266723110775e-07,9.697004570245026e-06,1.322813414096456e-07
1e-06,forward,5.361132609514886e-07,9.583585410390605e-06,1.258910411953445e-07
2.848035868435799e-06,forward,1.5266011418386377e-06,2.7320756680051265e-05,3.58479114832086e-07
8.111308307896873e-06,forward,4.34763362969478e-06,7.784337111590444e-05,1.0209188323465082e-06
2.310129700083158e-05,forward,1.2382166315628398e-05,0.0002217051418731298,2.9076016641895084e-06
6.579332246575683e-05,forward,3.5264739838631615e-05,0.0006314237680887293,8.280927071056033e-06
0.0001873817422860383,forward,0.00010043428509222973,0.0017982739037311736,2.3584152161304484e-05
0.0005336699231206307,forward,0.000286032679565771,0.0051211703312695755,6.716668746921723e-05
0.0015199110829529332,forward,0.000814568346571357,0.014582203606547288,0.0001912783449762515
0.004328761281083057,forward,0.0023194091388697943,0.04150574300326723,0.0005446476569746422
0.012328467394420659,forward,0.0066016212861926835,0.11800864482540342,0.0015502041039257626
0.03511191734215127,forward,0.01876816351310434,0.3344778170304968,0.00440717254744915
0.1,forward,0.05318274164658491,0.9398891174938488,0.012488463179642256
