h,scheme,derivative_abs_error,normal_angle_deg,tangent_line_RMSE
1e-06,central,1.2831402607105247e-11,0.0,3.722673861262595e-12
2.848035868435799e-06,central,8.890888025803179e-12,8.537736462515939e-07,2.5794428052192114e-12
8.111308307896873e-06,central,7.822742453811315e-12,0.0,2.2695540523309256e-12
2.310129700083158e-05,central,7.534139978560006e-11,8.537736462515939e-07,2.185821210317363e-11
6.579332246575683e-05,central,5.887634824119914e-10,0.0,1.708133203736927e-10
0.0001873817422860383,central,4.7689552307161875e-09,8.537736462515939e-07,1.3835794846201613e-09
0.0005336699231206307,central,3.8682533620715276e-08,1.4787793334710982e-06,1.1222659310889859e-08
0.0015199110829529332,central,3.137658832752521e-07,1.2720940824698908e-05,9.103042851632826e-08
0.004328761281083057,central,2.5450480505284645e-06,0.00010322543552728716,7.38374778721491e-07
0.012328467394420659,central,2.0643430073685742e-05,0.0008372768840025124,5.989116044217549e-06
0.03511191734215127,central,0.00016742947238934658,0.006791226217945721,4.857499629576709e-05
0.1,central,0.001357036107069165,0.055073487468750154,0.0003937062151209495
1e-06,five_point,3.133515669162534e-11,0.0,9.091011343454988e-12
2.848035868435799e-06,five_point,1.2139400595856387e-11,8.537736462515939e-07,3.5219092374738524e-12
8.111308307896873e-06,five_point,2.4427126987802694e-12,0.0,7.086840676424562e-13
2.310129700083158e-05,five_point,3.253064484454171e-12,0.0,9.437866814612005e-13
6.579332246575683e-05,five_point,8.312239785368547e-13,0.0,2.4115758164362273e-13
0.0001873817422860383,five_point,6.7390537594747e-14,8.537736462515939e-07,1.955183205932194e-14
0.0005336699231206307,five_point,4.263256414560601e-14,0.0,1.2369414818168762e-14
0.0015199110829529332,five_point,2.425837308805967e-13,0.0,7.037892520444821e-14
0.004328761281083057,five_point,1.6587065054807226e-11,0.0,4.8122747021385175e-12
0.012328467394420659,five_point,1.0924704474390978e-09,8.537736462515939e-07,3.169498596831808e-10
0.03511191734215127,five_point,7.185776318419101e-08,2.831646840510158e-06,2.0847527803718806e-08
0.1,five_point,4.71744004093555e-06,0.0001913329409359157,1.3686337849831495e-06
1e-06,forward,4.6400488173947707e-07,1.8821788102366937e-05,1.3461808778361664e-07
2.848035868435799e-06,forward,1.3214439296138636e-06,5.3604476013400406e-05,3.8338013654629686e-07
8.111308307896873e-06,forward,3.763597470229918e-06,0.00015264651469380615,1.0919029401821607e-06
2.310129700083158e-05,forward,1.0718921924834923e-05,0.00043474603419463846,3.109796533212244e-06
6.579332246575683e-05,forward,3.052824804439247e-05,0.0012382011071151232,8.856920555923456e-06
0.0001873817422860383,forward,8.694863769365124e-05,0.0035266565007837512,2.522572456102437e-05
0.0005336699231206307,forward,0.0002476579280558111,0.010045796351071841,7.185104728726427e-05
0.0015199110829529332,forward,0.0007055420046470084,0.028624995315613154,0.00020469335400245803
0.004328761281083057,forward,0.0020110544967741895,0.08164021044317832,0.0005834514278598952
0.012328467394420659,forward,0.00574081476236965,0.23344769481119465,0.0016655374459302005
0.03511191734215127,forward,0.016455549951173376,0.6724154861977796,0.004774119314335986
0.1,forward,0.04767388338251577,1.9756510205083737,0.013831248917307725
